,rmse,mae,mape,ndcg_at_k,mrr,ordinal_consistency
Guardian,0.13253113101149747,0.09533584804801072,40.01384937618517,0.9108142537146823,1.0,0.7684210526315789
Sentinel,0.1222315419658553,0.09390680680485225,31.615446282499416,0.9373122032874301,1.0,0.8421052631578947
Pragmatist,0.11560449557067833,0.09322598069380841,25.958644403104746,0.9449952811423662,1.0,0.8736842105263158
Analyst,0.11285716512470077,0.09265972729796623,22.183173040864652,0.952920761958491,1.0,0.8894736842105263
Strategist,0.11398938609995718,0.09320388120131681,19.605226841481898,0.9555488694860031,1.0,0.8526315789473684
Adventurer,0.11884926564242733,0.09444593725380634,17.71486259811,0.9539014542114708,1.0,0.8526315789473684
Innovator,0.1270910383037313,0.09569330695685044,16.209435342448757,0.9194363885007959,1.0,0.8105263157894737
Visionary,0.13823031981732253,0.0977475250255859,15.13972302324863,0.8977933810449309,1.0,0.7947368421052632
