,orness,target_vol,expected_vol,expected_return,n_activos,activos
Guardian,0.0625,0.13508702794258257,0.14967845958465972,0.5100602374278435,5,A06 A08 A05 A03 A09
Sentinel,0.1875,0.15789642375357052,0.1577848231019174,0.37965417519477584,9,A06 A05 A02 A03 A08 A11 A15 A13 A12
Pragmatist,0.3125,0.18070581956455847,0.18063054862455022,0.3778838088010436,9,A02 A06 A05 A03 A08 A11 A15 A13 A12
Analyst,0.4375,0.20351521537554645,0.20343503100021937,0.5478270838139521,9,A02 A06 A03 A05 A08 A11 A15 A19 A12
Strategist,0.5625,0.2263246111865344,0.22602932446030738,0.5326131844462686,9,A02 A03 A06 A05 A01 A15 A19 A11 A12
Adventurer,0.6875,0.24913400699752236,0.2492128823235266,0.5869439150220881,9,A02 A03 A01 A06 A05 A15 A19 A11 A12
Innovator,0.8125,0.2719434028085103,0.2721206480273624,0.6457867139880559,9,A02 A01 A03 A05 A06 A19 A15 A11 A12
Visionary,0.9375,0.29475279861949827,0.29428125265141003,0.7058679363303543,9,A02 A01 A03 A05 A06 A19 A15 A11 A12
